ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Prefered social media platform,Time spent on TV,Number of meals per day,Change in your weight,Healthissueduringlockdown,Stress busters,Time utilized,Relationship with around,What you miss the most
R230,0,32,4,3,0,5,2,5,3,4,0,3,1,0,Reading,1,1,Colleagues
R231,1,17,6,2,1,12,1,8,2,1,3,4,1,0,Sleep,0,0,Travelling
R233,1,22,4,2,0,3,2,8,2,1,0.5,4,2,0,Sleep,1,1,Roaming around freely
R234,0,17,6,0,4,4,2.5,8,0.5,0,0,3,1,0,Reading books,1,1,School/college
R235,0,17,5,2,0,1.5,2,8,1,2,3,3,0,0,Cooking,1,1,"Friends , relatives"
R236,1,22,5,3,0,10,1,6,1,13,0,3,1,1,Online gaming,1,1,School/college
R237,0,18,2,0,1,2,2,9,4,2,0,3,2,0,Online gaming,0,1,School/college
R238,1,20,5,0,0,12,0,7,1,8,0,3,2,0,Reading books,0,1,Roaming around freely
R239,0,30,3,2,1,1,0.5,4,1,1,0.5,2,1,0,Meditation,1,1,School/college
R240,1,19,1,2,0,1,0,8,1,2,2,4,1,0,Whatever want,0,0,Eating outside
R241,0,14,3,3,0,2,0,8,1,1,1,1,2,0,Cooking,1,1,School/college
R243,0,16,7,2,1,3,2,11,1.5,0,1,3,0,1,Online gaming,0,1,School/college
R244,1,17,6,2,1,2,1,9,3,0,0.5,3,1,0,Sleep,0,1,"Friends , relatives"
R245,1,20,1,0,2,2,2,8,1,2,0,2,0,0,Reading books,0,1,School/college
R246,1,17,4,3,1,2,0,7,3,0,2,4,2,0,Social Media,1,1,School/college
R247,1,20,6,2,4,2,0,6,4,0,0,3,2,0,Listening to music,0,0,Roaming around freely
R249,0,17,5,2,1,4,2,7,2,2,2,2,2,0,Online gaming,0,1,School/college
R250,1,21,3,0,0,2,0,7,2,4,2,3,1,0,Online gaming,1,0,Going to the movies
R251,1,16,4,1,0,0,0,9,1,1,1,2,1,0,Listening to music,0,1,School/college
R252,1,21,5,2,1,2,2,6,5,0,0,3,2,0,Scrolling through social media,0,1,Roaming around freely
R254,0,20,4,3,0,5,1,7,0.1,1,0,4,1,0,Reading,0,0,School/college
R255,0,14,4,2,1,4,0,8,2,0,2,3,2,0,Listening to music,0,1,School/college
R256,1,19,3,3,0,2,0,8,5,2,1.5,3,2,0,Web Series,0,1,School/college
R257,1,18,0,0,0,3,0,8,4,4,1,3,2,0,Watching web series,0,1,"Friends , relatives"
R258,0,13,5,0,0,4,1,8,10,1,0,3,0,0,Cooking,0,0,School/college
R259,0,20,4,0,0,8,0,6,1,0,0,3,0,0,Listening to music,1,1,Eating outside
R260,0,19,0,0,0,4,0.3,8,2,1,0,2,1,0,Talking to your relatives,0,0,School/college
R261,0,15,5,2,1,1,0,7,1,2,1.5,3,1,0,Online gaming,0,1,School/college
R262,0,20,1,0,1,0,0,10,5,2,1,2,2,1,Sleep,0,1,School/college
R263,1,19,0,0,0,1,0,8,4,5,2,3,2,0,Watching web series,0,0,"Friends , relatives"
R264,0,21,3,3,0,3,1,6,0.5,1,0.5,2,2,1,Listening to music,1,0,Travelling
R265,0,20,4,0,0,2,1,8,4,2,0,4,2,0,Listening to music,0,1,"Friends , relatives"
R266,1,20,4,3,0,5,1,6,2,2,0.5,2,1,0,Listening to music,0,1,Colleagues
R267,0,16,6,3,0,3,0,7,1,1,1,3,1,0,Listening to music,0,0,School/college
R268,1,21,2,1,0,2,1,5,3,1,1,3,1,0,Reading books,1,1,Roaming around freely
R269,1,17,5.5,3,1,5,1,9,1,2,1,3,1,0,Listening to music,0,1,Colleagues
R270,1,21,0,2,0,12,0,7,3,2,0,3,1,0,Reading books,1,1,Nothing
R271,1,20,0,3,1,0,0,7.5,3.5,2,2,3,1,0,Indoor Games,1,1,Nothing
R272,1,21,4,2,0,2,1,8,3,0,0,2,1,0,Online gaming,0,0,Eating outside
R273,1,20,3,0,1,5,1,7,1,1,0,3,2,0,Sleep,0,1,Roaming around freely
R274,0,16,4,1,5,2.5,0.5,6,0.5,1,1,3,1,0,"watching movies,reading books,games,listening to music,sleep,dancing",1,1,"school, relatives and friends"
R275,0,19,0,0,0,8,1,8,2,1,0,2,2,1,Cooking,1,1,Roaming around freely
R276,1,19,1,0,0,3,0,8,3,0,3,3,2,1,Listening to music,1,1,Roaming around freely
R278,0,19,1,4,0,1,3,9,2,2,0,5,1,0,Listening to music,0,1,Travelling
R279,1,20,2,3,0,1,0,10,1,1,0,2,1,0,Online gaming,0,1,Colleagues
R280,1,19,2,2,1,3,1,9,3,1,3,3,2,0,Sleep,0,1,School/college
R281,0,17,7,2,0,2,0,6,2,2,2,2,2,0,Sleep,1,1,School/college
R282,1,21,0,0,0,2,0,8,3,1,5,3,0,0,Watching web series,0,0,Roaming around freely
R283,0,17,6,3,1,4,0,7,1,1,2,3,0,0,Listening to music,1,0,School/college
R285,1,25,5,2,0,6,0,8,1,0,0,3,1,0,Listening to music,1,0,Roaming around freely
R286,1,19,3,2,0,6,0.5,8,0.6,3,1.5,4,2,0,Reading books,1,1,School/college
R287,1,16,5,0,1,2,1,8,2,1,0,3,2,0,Online gaming,0,1,"Friends , relatives"
R288,1,17,7,3,1,5,0.5,7,2,1,2,3,2,0,Online gaming,0,0,All 
R289,1,18,1,2,1,2,0,10,1,0,0.5,2,1,0,Reading books,0,0,Roaming around freely
R290,0,20,5,4,0,1,1,8,3,0,0,3,1,0,Listening to music,1,0,"Friends , relatives"
R291,1,20,3,0,0,9,1,6,1,1,0,1,2,0,Meditation,0,1,Roaming around freely
R292,1,20,1,0,0,3,1,9,4,0,0,2,2,0,Scrolling through social media,1,1,School/college
R293,1,22,3,2,1,3,0,8,2,0,1,3,2,0,Talking to your relatives,0,0,School/college
R294,0,16,7,4,2,2,1,6,2,1,0,3,0,0,Online surfing,1,0,School/college
R295,1,19,2,0,0,1,1,7,5,0,1,4,1,0,Talking to your relatives,0,1,"Friends , relatives"
R296,0,17,9,2,0,5,1,6,1,2,0,3,0,0,Listening to music,1,0,Travelling
R297,0,20,0,2,0,1,0,9,5,1,2,4,1,1,Listening to music,1,1,Travelling
R298,1,21,0,0,0,6,0,6,4,2,2,3,2,0,Meditation,0,1,Roaming around freely
R299,0,19,2,0,0,3,1,8,1,0,2,4,1,0,Watching web series,1,1,Travelling
R301,1,17,8,0,1,2,1,9,0,1,0,3,1,0,Listening to music,0,0,All
R302,0,25,1,2,0,3,1,7,3,1,2,3,2,0,Reading books,0,1,Travelling
R303,1,20,3,2,1,2,0.5,8,3,1,0,3,1,0,Listening to music,0,1,"Friends , relatives"
R305,0,19,5,4,1,5,1,7,2,2,3,3,2,0,Sleep,0,1,Travelling
R306,1,23,5,2,1,5,1,8,1,1,2,3,1,0,gardening cartoon,1,1,Roaming around freely
R307,0,22,2,2,0,8,1,8,2,3,1,2,1,0,Listening to music,1,0,School/college
R308,0,22,4,2,0,1,1,8,4,2,1,3,2,0,Online surfing,1,0,Roaming around freely
R310,1,21,3,2,0,3,2,6.5,2,2,2,2,2,0,Scrolling through social media,0,1,"Friends , relatives"
R311,0,22,1,2,1,3,1,8,1,0,0,2,0,1,Cooking,0,0,Roaming around freely
R312,0,24,3,0,0,4,0,6,3,1,4,3,1,0,Listening to music,0,0,School/college
R313,1,14,3,2,2,6,3,7,3,0,1,2,1,0,"listening to music,reading books and dancing.",1,1,all of the above
R314,0,16,4,0,1,3,0,8,4,2,0,4,1,0,Dont get distreessed,1,0,Nothing 
R315,1,19,1,2,0,3,2,7,1,0,2,2,1,1,Online gaming,0,0,School/college
R316,0,21,5,0,0,3,2,10,6,2,1,3,2,1,Online gaming,1,0,Eating outside
R317,1,17,2,2,0,5,0,8,4,2,0,3,1,0," listening music, motion design, graphic design, sleeping.",1,0,Eating outside and friends.
R318,1,16,4,3,1,2,0.5,9,1,0,0.1,3,2,0,Sleeping,0,1,Colleagues
R320,1,29,8,3,0,2,1,8,0.5,0,2,4,1,0,Web Series,0,0,Travelling
R321,0,26,1,3,0,4,0,6,6,4,4,3,1,0,Talking,0,1,Travelling
R322,1,21,5,0,1,2,1,12,2,0,1,4,2,0,Listening to music,1,0,School/college
R323,0,18,0,0,1,0,2,7,6,0,0,4,2,0,Business,1,1,"Friends , relatives"
R324,1,19,3,0,1,0,0,12,5,0,0,3,0,0,Online gaming,0,0,Eating outside
R325,1,21,2,2,0,2,1,10,2,2,0.25,3,1,0,Sleep,1,0,School/college
R326,1,12,1,3,0,3,2,8,2,2,1,4,2,0,Reading,1,1,Colleagues
R327,1,26,0,0,1,1,1,7,1,1,2,2,0,0,Online gaming,0,1,Travelling
R328,0,20,6,0,0,6,0,6,3,1,0,4,2,0,Reading books,0,1,School/college
R329,1,16,4,0,1,2,1,9,2,2,1,2,0,0,Many among these ,0,0,Travelling
R330,1,21,0,2,0,2,0,10,5,5,1,3,2,0,Listening to music,1,0,School/college
R331,0,21,5,2,0,2,0,8,0.5,1,1,2,2,0,Sleep,0,1,"Friends , relatives"
R332,1,20,6,2,0,4,0,7,1,3,0,3,2,0,Cooking,1,1,School/college
R333,1,21,0,0,0,2,1,7,1,0,0,4,1,1,Listening to music,1,0,Travelling
R334,0,21,2,2,1,2,1,7,1,1,4,3,1,0,Online surfing,1,0,All above
R335,1,19,1,0,0,0,0,12,10,0,2,2,1,0,Online gaming,0,0,Nothing
R336,0,21,2,2,0,2,0,8,2,0,1,3,1,1,Reading books,0,1,Eating outside
R337,1,14,5,2,1,2.3,0,8,2,2,3,2,1,0,Scrolling through social media,1,1,Travelling
R338,1,22,1,2,0,2,0,11,3,1,3,2,2,1,Dancing,0,0,"Friends , relatives"
R339,1,19,2,2,1,2.5,0,9,2,4,1,3,1,0,Online surfing,0,0,"Nah, this is my usual lifestyle anyway, just being lazy...."
R340,0,18,4,2,1,1,1,12,1,0,1,2,2,0,Watching web series,0,1,All
R341,0,16,8,2,0,6,0,6,1,2,0,4,1,0,Watching web series,1,0,"Friends , relatives"
R342,0,43,2,2,1,0,1,6,2,4,0.5,3,2,0,Talk with childhood friends.,0,1,Family 
R343,0,15,4,0,2,10,0,8,1,5,1,3,1,0,Listening to music,0,1,"Friends , relatives"
R344,0,32,1,0,0,10,1,8,2,5,0,3,2,0,Reading books,1,1,School/college
R345,1,15,3,3,0,3,1,7,1,2,2,2,2,0,Sleeping,1,1,Colleagues
R354,0,21,3,2,0,3,1,8,2,0,0,3,2,0,Watching web series,0,1,Eating outside
R355,1,15,5,2,1,3,3,8,3,0,2,3,1,0,Online gaming,1,1,School/college
R356,1,34,2,2,0,3,1,7,2,5,1,3,1,0,Sleep,1,1,Travelling
R357,1,17,0.75,2,1,5,1,6,2,2,2,1,2,1,Reading books,0,1,School/college
R358,1,12,1,4,1,2,1,9,2,2,1,3,2,0,Online gaming,1,1,School/college
R359,1,16,1,2,1,2,1,7,2,1,3,3,1,0,Listening to music,0,1,School/college
R360,1,17,7,2,0,8,1,6,1,1,1,3,2,0,Listening to music,1,1,School/college
R361,1,14,2.5,3,1,1,0.5,6,2,2,1,2,0,0,Cooking,1,1,Colleagues
R362,0,16,4,2,1,5,1,6,2,1,2,2,1,0,Dancing,1,0,Travelling
R363,1,13,2,4,1,1,3,11,3,2,2,4,2,0,Reading books,0,1,Eating outside
R364,1,23,0,2,0,2,0,7,3,3,0,3,1,0,Listening to music,1,0,Roaming around freely
R365,1,21,6,0,1,0,1,7,4,0,1,4,2,0,Listening to music,1,1,Only friends
R366,0,31,4,4,0,2,1,8,1,4,1,3,2,0,Sleep,1,0,School/college
R367,1,23,5,4,1,1,1,9,2,1,0,4,0,0,Online gaming,1,1,Football
R368,1,13,1,4,1,5,3,6,2,0,2,7,2,0,Exercise,1,1,School/college
R369,1,21,3,2,0,0,1,8,3,0,0,3,2,1,Listening to music,0,0,School/college
R370,1,17,6,2,0,2.5,1,6,0,6,0.5,3,1,0,Reading books,1,1,Roaming around freely
R371,1,23,3,3,0,3,0,7,2,3,0,3,1,0,Cooking,0,1,Travelling
R372,1,13,1,4,1,2,0,8,0,6,4,3,2,0,Watching web series,1,0,"Friends , relatives"
R373,1,20,1,2,0,2.5,0,6,4,0,1,3,1,0,Online gaming,1,1,Roaming around freely
R374,1,13,0.5,2,1,2,2,10,2,2,0,3,2,0,Online gaming,1,0,School/college
R375,1,14,2,4,1,1,1,8,1,1,2,1,2,1,Online gaming,1,1,School/college
R376,1,40,1,2,0,2,1,6,4,1,0,2,1,0,Online surfing,0,1,Eating outside
R377,1,12,1,4,1,1.2,0.5,10,0,1,2,3,2,0,Talking to your relatives,1,1,"Friends , relatives"
R378,1,20,3,0,0,2,1,8,4,3,0,3,1,1,Listening to music,0,1,Travelling
R379,1,12,1,3,1,2,0.5,8,2,1,2,4,1,0,Listening to music,0,1,Travelling
R380,1,21,3,2,0,3,0,8,2,0,0,4,0,0,Sleep,0,1,Travelling
R381,1,42,4,3,0,3,0,7,1,4,0.5,2,2,0,Social Media,1,1,Travelling
R382,0,20,3,3,1,4,2,7,4,1,0.5,4,1,1,Talking,0,1,School/college
R391,1,23,3,3,1,1,0,6,2,1,3,3,1,0,Listening to music,0,1,Colleagues
R392,1,12,2,4,1,2,1,10,1,2,1,4,1,0,Reading books,1,1,School/college
R393,0,17,2,4,1,3,1,6,2,1,2,1,2,0,Talking to your relatives,1,1,School/college
R394,0,18,1,2,0,1,0,8,4,0,0,3,0,0,Watching web series,1,1,Roaming around freely
R395,0,20,1,2,0,2,2,9,4,0,5,2,1,0,Listening to music,1,0,Travelling
R396,0,17,5,2,1,3,1,6,1,4,2,1,1,0,Online gaming,1,1,School/college
R397,1,20,1,2,0,4,0,8,3,0,0,3,1,0,Watching web series,0,0,"Friends , relatives"
R398,1,20,3,0,0,4,1,8,2,1,0.5,4,1,0,Cooking,1,1,Roaming around freely
R399,1,19,0.75,1,0,2,1,6,4,2,0,2,1,0,"Netflix, Friends and Books",0,1,"Friends , relatives"
R400,0,20,4,3,0,2,0,11,1,1,0,3,2,0,Listening to music,0,1,Travelling
R401,1,16,2,4,1,5,1,8,4,1,4,3,2,0,Online gaming,1,1,School/college
R402,1,13,3,4,1,2,0,8,1,2,0,3,1,0,Listening to music,1,1,"Friends , relatives"
R403,1,20,0,3,0,4,1,7,4,2,2,3,1,1,Web Series,0,1,Travelling
R404,0,14,3,4,1,2,0,10,1,2,1,2,1,0,Listening to music,0,1,School/college
R405,1,17,2,3,1,1,1,8,3,4,2,3,0,0,Online gaming,1,1,Travelling
R406,0,20,1,0,0,1,0,12,2,5,1,3,2,0,Listening to music,0,1,Eating outside
R407,1,17,7,4,1,1,1,4,1,2,0,1,0,0,Cooking,1,1,School/college
R408,0,13,2,4,1,1,1,6,2,1,0,1,0,1,Reading books,1,1,School/college
R409,1,13,1,3,1,2,1,8,3,2,0.5,3,1,0,Online gaming,1,1,School/college
R410,0,20,2,0,0,4,1,8,2,0,0,3,1,0,Meditation,1,1,"Friends , relatives"
R411,0,27,0,3,0,2,0,10,6,1,6,3,0,0,Online gaming,0,1,Colleagues
R412,1,20,1,3,0,0,1,7,2,0,0,3,0,0,Web Series,1,0,Eating outside
R413,1,20,5,0,0,3,1,7,4,5,0,3,0,0,Listening to music,1,1,Roaming around freely
R414,1,17,4,2,1,1,1,8,5,2,0.3,2,2,0,Online gaming,0,1,"Friends , relatives"
R415,1,27,3,4,0,2,2,7,1,0,0,3,0,1,Listening to music,1,1,Travelling
R416,0,14,1,3,1,3,1,9,1,6,0,3,2,0,Online gaming,1,1,School/college
R417,1,9,1,2,0,1,0,8,0,2,1,3,2,0,Listening to music,0,0,Roaming around freely
R418,1,14,5,2,1,1,1,7,1,1,4.5,2,0,0,Watching web series,0,1,"Friends , relatives"
R419,1,36,2,4,2,3,1,7,5,2,3,3,2,0,Online gaming,0,1,"Friends , relatives"
R420,1,8,2,4,0,2,1,8,1,1,2,3,1,0,Dancing,1,1,Roaming around freely
R421,1,20,2,2,0,1,1,7,1,1,1,2,1,0,Watching web series,1,1,School/college
R422,0,12,2,2,0,1,1,7,2,0,2,2,2,0,Sleeping,1,1,"Friends , relatives"
R423,1,19,8,4,0,10,1,6,1,3,0,4,1,0,Online gaming,1,1,School/college
R424,0,24,0,4,0,3,1,8,3,0,0,3,0,0,Online gaming,1,0,Travelling
R425,1,20,2,2,0,2,2,8,3,0,0,3,1,0,Watching web series,1,1,Roaming around freely
R426,1,22,1,0,1,3,0,7,3,2,2,3,1,0,Watching web series,0,1,Roaming around freely
R427,0,20,3,0,0,0,1,9,4,2,4,4,0,0,Sleeping,0,1,"Friends , relatives"
R428,1,12,1,4,1,3,1,6,1,2,1,1,1,0,Cooking,0,1,"Friends , relatives"
R429,0,21,0,0,0,1,0,6,6,0,1,3,1,1,Scrolling through social media,0,0,School/college
R430,1,20,2,2,0,3,2,7,3,0,1,2,0,0,Talking to your relatives,1,1,Roaming around freely
R431,0,32,1,2,1,0,0,14,2,4,2,3,1,0,Watching web series,0,1,School/college
R432,0,28,4,3,0,4,1,12,2,2,0,3,0,0,Social Media,1,1,Travelling
R433,1,21,2,0,0,0,1,12,5,0,5,4,1,0,Listening to music,0,0,School/college
R434,0,21,2,2,0,2,1,8,2,1,2,3,1,1,Watching web series,1,1,"Friends , relatives"
R435,1,15,5,2,0,3,1,10,3,0,1,4,1,0,Listening to music,1,1,All
R436,0,19,1,0,0,0,1,9,8,2,0,3,1,0,Online gaming,0,0,"Friends , relatives"
R437,0,19,3,0,0,1,0,5,1,2,2,3,2,0,Watching web series,0,1,School/college
R438,0,18,3,0,1,2,0,8,2,0,0.5,3,1,0,Scrolling through social media,0,1,"Friends , relatives"
R439,1,14,7,0,2,3,0,8,0,6,1,2,0,0,Sleeping,0,0,Travelling
R440,0,18,1,4,1,2,1,8,1,4,0,2,1,0,Online gaming,1,1,"Friends , relatives"
R441,1,50,2,3,1,2,0,6,2,2,1,3,1,0,Listening to music,1,0,School/college
R442,0,20,0.7,0,0,3.5,0.5,8,3,0,0.6,4,2,0,Reading books,1,1,Roaming around freely
R443,0,16,2,0,0,2,1,9,2,0,0.5,2,1,1,Listening to music,0,1,Roaming around freely
R444,1,13,2,3,1,1,0,11,2,2,3,2,2,1,Social Media,0,0,School/college
R445,1,20,3,0,0,4,1,8,2,5,0,3,1,0,Reading books,1,1,Eating outside
R446,1,21,0,0,0,2,1,7,2,1,7,3,2,0,Watching web series,0,0,"Friends , relatives"
R447,1,14,3,4,0,5,2,10,3,4,3,3,0,0,Listening to music,1,1,"Friends , relatives"
R448,0,20,0,0,0,2,0,7,5,0,0,2,0,1,Listening to music,0,1,"Friends , relatives"
R449,1,22,3,2,0,2,0,7,3,2,0,3,2,0,Reading books,1,1,Eating outside
R450,1,13,0.75,4,1,2,0,7,1,2,0,1,1,0,Reading books,1,0,School/college
R451,1,13,3,3,1,3,1,8,1,1,0.5,2,2,0,Online gaming,1,1,School/college
R452,1,16,6,3,1,3,1,6,1,2,1,1,0,0,Talking,1,1,Colleagues
R453,0,35,4,2,1,2,1,6,0.5,4,1,2,1,0,Online surfing,0,1,Roaming around freely
R454,0,45,3,4,0,4,1,8,2,2,1,3,2,0,Meditation,1,1,"Friends , relatives"
R455,1,16,0,3,1,0,2,6,1,4,4,2,1,0,Online gaming,0,1,Colleagues
R456,1,20,4,0,0,6,0,8,0,2,0,2,1,0,Reading books,1,1,School/college
R457,0,21,0,1,0,9,0,7,2,0,0,3,1,0,Listening to music,1,0,"Friends , relatives"
R458,1,23,6,2,0,4,1,9,1,0,0,4,1,0,Listening to music,0,0,"Friends , relatives"
R459,0,21,2,2,0,4,1,8,8,0,1,2,2,0,Scrolling through social media,1,1,School/college
R460,1,20,7,3,0,2,0,8,4,4,3,4,2,0,Social Media,0,0,Travelling
R461,0,19,0,0,1,5,0.5,7,4,0,0,3,1,0,Reading books,1,1,Travelling
R462,0,18,4,0,1,2,1,12,2,0,0,3,1,0,Listening to music,1,0,"Friends , relatives"
R471,0,20,5,3,0,7,0,6,1,3,0,4,2,0,Web Series,1,1,Travelling
R472,1,20,0,0,0,10,4,6,2,1,0,7,0,0,Listening to music,1,1,"Friends , relatives"
R473,0,20,4,0,0,5,1,9,2,2,0,4,2,0,Listening to music,0,1,Eating outside
R474,0,19,4,2,0,0,0,8,6,0,1,3,2,0,Online gaming,0,1,School/college
R475,1,19,0,3,0,3,1,8,3,0,1,3,2,0,Social Media,0,0,School/college
R476,1,7,2,3,1,2,1,9,1,1,2,3,2,0,Online gaming,0,1,Travelling
R477,0,21,2,2,0,0,1,7,3,0,0,2,1,0,Online gaming,1,1,School/college
R478,1,23,4,0,0,10,1,7,1,1,0,2,0,0,Listening to music,1,1,Travelling
R479,1,20,5,0,0,2,0,13,4,0,0,2,2,0,Scrolling through social media,0,0,School/college
R480,1,20,4,0,1,4,0,8,4,0,3,3,1,0,Online gaming,1,1,Eating outside
R481,0,19,4,0,0,3,1,8,3,1,2,3,2,0,Meditation,1,1,School/college
R482,1,20,4,0,0,2,1,8,2,2,0,3,2,0,Dancing,1,1,"Friends , relatives"
R483,0,18,4,2,1,1,0,9,4,1,1,3,0,1,Online gaming,0,1,Eating outside
R484,1,21,4,0,2,0,3,11,10,7,0,1,0,0,Meditation,0,0,Travelling
R485,0,18,6,0,0,6,1,6,1,0,0.5,5,1,1,Listening to music,1,1,School/college
R486,1,21,6,4,0,6,1,6,1,0,0,4,0,0,Driving,0,1,Roaming around freely
R487,0,19,2,0,0,3,0,7,3,1,2,2,2,0,Online surfing,0,0,School/college
R488,0,19,0,2,0,1,0.5,8,1,0,0,3,2,0,Scrolling through social media,0,1,Nothing
R489,0,22,2,2,0,2,0,8,1,0,1,3,1,1,Reading books,0,0,School/college
R490,1,21,3,2,0,7,3,6,1,1,0,3,1,0,Meditation,1,0,School/college
R491,1,24,2,1,1,6,0,6,3,1,0.5,4,0,0,Listening to music,0,0,School/college
